Nom de la commune;Code département;Nom de la région;Population totale;
Bourg-en-Bresse;Auvergne-Rhône-Alpes;01;43454;
Laon;Hauts-de-France;02;26031;
Saint-Quentin;Hauts-de-France;02;55940;
Soissons;Hauts-de-France;02;29417;
Montluçon;Auvergne-Rhône-Alpes;03;37417;
Gap;Provence-Alpes-Côte d'Azur;05;42567;
Antibes;Provence-Alpes-Côte d'Azur;06;74982;
Cagnes-sur-Mer;Provence-Alpes-Côte d'Azur;06;50385;
Cannes;Provence-Alpes-Côte d'Azur;06;75046;
Le Cannet;Provence-Alpes-Côte d'Azur;06;42056;
Grasse;Provence-Alpes-Côte d'Azur;06;51705;
Menton;Provence-Alpes-Côte d'Azur;06;28942;
Nice;Provence-Alpes-Côte d'Azur;06;345998;
Saint-Laurent-du-Var;Provence-Alpes-Côte d'Azur;06;28831;
Vallauris;Provence-Alpes-Côte d'Azur;06;26787;
Charleville-Mézières;Grand Est;08;48420;
Troyes;Grand Est;10;61988;
Carcassonne;Occitanie;11;47418;
Narbonne;Occitanie;11;55001;
Rodez;Occitanie;12;25747;
Aix-en-Provence;Provence-Alpes-Côte d'Azur;13;146385;
Arles;Provence-Alpes-Côte d'Azur;13;53807;
Aubagne;Provence-Alpes-Côte d'Azur;13;45711;
La Ciotat;Provence-Alpes-Côte d'Azur;13;35758;
Istres;Provence-Alpes-Côte d'Azur;13;44248;
Marignane;Provence-Alpes-Côte d'Azur;13;33949;
Marseille;Provence-Alpes-Côte d'Azur;13;870018;
Martigues;Provence-Alpes-Côte d'Azur;13;49310;
Miramas;Provence-Alpes-Côte d'Azur;13;26217;
Salon-de-Provence;Provence-Alpes-Côte d'Azur;13;46225;
Vitrolles;Provence-Alpes-Côte d'Azur;13;34301;
Caen;Normandie;14;108461;
Aurillac;Auvergne-Rhône-Alpes;15;27659;
Angoulême;Nouvelle-Aquitaine;16;44629;
La Rochelle;Nouvelle-Aquitaine;17;78623;
Saintes;Nouvelle-Aquitaine;17;26890;
Bourges;Centre-Val de Loire;18;67841;
Vierzon;Centre-Val de Loire;18;27036;
Brive-la-Gaillarde;Nouvelle-Aquitaine;19;48333;
Ajaccio;Corse;2A;70063;
Bastia;Corse;2B;45596;
Dijon;Bourgogne-Franche-Comté;21;159031;
Saint-Brieuc;Bretagne;22;47058;
Bergerac;Nouvelle-Aquitaine;24;28166;
Périgueux;Nouvelle-Aquitaine;24;31505;
Besançon;Bourgogne-Franche-Comté;25;120107;
Montbéliard;Bourgogne-Franche-Comté;25;26015;
Montélimar;Auvergne-Rhône-Alpes;26;39924;
Romans-sur-Isère;Auvergne-Rhône-Alpes;26;34095;
Valence;Auvergne-Rhône-Alpes;26;64322;
Évreux;Normandie;27;51560;
Chartres;Centre-Val de Loire;28;40195;
Dreux;Centre-Val de Loire;28;31575;
Brest;Bretagne;29;142629;
Quimper;Bretagne;29;66743;
Alès;Occitanie;30;41129;
Nîmes;Occitanie;30;154196;
Colomiers;Occitanie;31;39200;
Muret;Occitanie;31;25961;
Toulouse;Occitanie;31;482738;
Tournefeuille;Occitanie;31;27008;
Bègles;Nouvelle-Aquitaine;33;28092;
Bordeaux;Nouvelle-Aquitaine;33;256045;
Gradignan;Nouvelle-Aquitaine;33;26029;
Libourne;Nouvelle-Aquitaine;33;25491;
Mérignac;Nouvelle-Aquitaine;33;71203;
Pessac;Nouvelle-Aquitaine;33;62737;
Saint-Médard-en-Jalles;Nouvelle-Aquitaine;33;31576;
Talence;Nouvelle-Aquitaine;33;44040;
La Teste-de-Buch;Nouvelle-Aquitaine;33;26525;
Villenave-d'Ornon;Nouvelle-Aquitaine;33;33091;
Agde;Occitanie;34;28120;
Béziers;Occitanie;34;77894;
Lunel;Occitanie;34;26263;
Montpellier;Occitanie;34;286098;
Sète;Occitanie;34;44271;
Rennes;Bretagne;35;222104;
Saint-Malo;Bretagne;35;47528;
Châteauroux;Centre-Val de Loire;36;45780;
Joué-lès-Tours;Centre-Val de Loire;37;37974;
Tours;Centre-Val de Loire;37;139963;
Bourgoin-Jallieu;Auvergne-Rhône-Alpes;38;28399;
Échirolles;Auvergne-Rhône-Alpes;38;36143;
Grenoble;Auvergne-Rhône-Alpes;38;160836;
Saint-Martin-d'Hères;Auvergne-Rhône-Alpes;38;38974;
Vienne;Auvergne-Rhône-Alpes;38;30178;
Mont-de-Marsan;Nouvelle-Aquitaine;40;31517;
Blois;Centre-Val de Loire;41;47524;
Roanne;Auvergne-Rhône-Alpes;42;35913;
Saint-Chamond;Auvergne-Rhône-Alpes;42;35969;
Saint-Étienne;Auvergne-Rhône-Alpes;42;174298;
Nantes;Pays de la Loire;44;314611;
Orvault;Pays de la Loire;44;26618;
Rezé;Pays de la Loire;44;41808;
Saint-Herblain;Pays de la Loire;44;47502;
Saint-Nazaire;Pays de la Loire;44;72295;
Saint-Sébastien-sur-Loire;Pays de la Loire;44;27591;
Orléans;Centre-Val de Loire;45;118102;
Agen;Nouvelle-Aquitaine;47;34565;
Angers;Pays de la Loire;49;155543;
Cholet;Pays de la Loire;49;55772;
Saumur;Pays de la Loire;49;28554;
Sèvremoine;Pays de la Loire;49;26239;
Cherbourg-en-Cotentin;Normandie;50;82578;
Châlons-en-Champagne;Grand Est;51;46288;
Reims;Grand Est;51;187074;
Saint-Dizier;Grand Est;52;25666;
Laval;Pays de la Loire;53;52359;
Nancy;Grand Est;54;106953;
Vandœuvre-lès-Nancy;Grand Est;54;30502;
Lorient;Bretagne;56;58789;
Vannes;Bretagne;56;55573;
Metz;Grand Est;57;119856;
Thionville;Grand Est;57;41396;
Nevers;Bourgogne-Franche-Comté;58;34799;
Armentières;Hauts-de-France;59;25373;
Cambrai;Hauts-de-France;59;33349;
Douai;Hauts-de-France;59;40860;
Dunkerque;Hauts-de-France;59;89485;
Lambersart;Hauts-de-France;59;28027;
Lille;Hauts-de-France;59;236782;
Marcq-en-Barœul;Hauts-de-France;59;39697;
Maubeuge;Hauts-de-France;59;29995;
Roubaix;Hauts-de-France;59;96953;
Tourcoing;Hauts-de-France;59;98170;
Valenciennes;Hauts-de-France;59;44509;
Villeneuve-d'Ascq;Hauts-de-France;59;63085;
Wattrelos;Hauts-de-France;59;41570;
Beauvais;Hauts-de-France;60;57548;
Compiègne;Hauts-de-France;60;41660;
Creil;Hauts-de-France;60;36091;
Alençon;Normandie;61;27221;
Arras;Hauts-de-France;62;41973;
Béthune;Hauts-de-France;62;25753;
Boulogne-sur-Mer;Hauts-de-France;62;42293;
Calais;Hauts-de-France;62;75719;
Hénin-Beaumont;Hauts-de-France;62;26260;
Lens;Hauts-de-France;62;31080;
Liévin;Hauts-de-France;62;31337;
Clermont-Ferrand;Auvergne-Rhône-Alpes;63;146112;
Anglet;Nouvelle-Aquitaine;64;39995;
Bayonne;Nouvelle-Aquitaine;64;51943;
Biarritz;Nouvelle-Aquitaine;64;25518;
Pau;Nouvelle-Aquitaine;64;79022;
Tarbes;Occitanie;65;41862;
Perpignan;Occitanie;66;123602;
Haguenau;Grand Est;67;35024;
Illkirch-Graffenstaden;Grand Est;67;27505;
Schiltigheim;Grand Est;67;32024;
Strasbourg;Grand Est;67;283515;
Colmar;Grand Est;68;71445;
Mulhouse;Grand Est;68;110468;
Bron;Auvergne-Rhône-Alpes;69;41589;
Caluire-et-Cuire;Auvergne-Rhône-Alpes;69;43546;
